CustomerId,FirstName,LastName,Zip,Phone,Email
8724,Cairo,Cameron,97179,034-833-6767,cameron.c@gmail.com
6498,Dolan,Dickerson,12532,077-846-5337,dickerson.d@live.com
5099,Shay,Hansen,24623,052-174-5241,hansen.s@hotmail.com
3412,Destiny,Pickett,14094,019-925-9483,pickett.d@yahoo.com
9380,Dale,Herman,86111,096-583-3654,herman.d@gmail.com
8036,Sybil,Roy,18990,041-851-5670,roy.s@gmail.com
8427,Acton,Osborn,40364,088-797-6205,osborn.a@hotmail.com
5653,Chaney,Branch,54765,030-207-6744,branch.c@yahoo.com
7815,Hilary,Townsend,97273,085-269-1359,townsend.h@live.com
5862,Axel,Hogan,52036,049-726-7403,hogan.a@hotmail.com
7845,Hayfa,Harding,64904,035-076-5781,harding.h@gmail.com
5781,Griffith,Holland,50147,027-235-8981,holland.g@gmail.com
2798,Lesley,Heath,31295,027-757-5978,heath.l@rocketmail.com
9136,Bertha,French,45247,047-356-1958,french.b@rocketmail.com
8714,Ingrid,Bennett,77417,044-840-3352,bennett.i@outlook.com
2685,Micah,Roy,49179,056-950-9582,roy.m@outlook.com
1764,Stewart,Norman,76594,067-770-7031,norman.s@hotmail.com
9836,Vivian,Barnes,67530,050-032-3446,barnes.v@gmail.com
6605,Nolan,Vance,78298,059-113-6231,vance.n@hotmail.com
9373,Stone,Williams,45083,082-629-5816,williams.s@yahoo.com
6435,Wendy,Nguyen,44352,011-200-1303,nguyen.w@yahoo.com
7140,Abel,Allen,63301,016-651-7863,allen.a@gmail.com
6214,Iona,Barrera,03329,060-394-1537,barrera@gmail.com
3495,Herman,Martin,11116,072-870-5787,martin@hotmail.com
5877,Brenden,Richardson,57591,015-988-7225,richardson@hotmail.om
4099,Kaye,Santos,33545,004-596-8748,santos.k@yahoo.com
8972,Heidi,Coleman,62660,063-963-5716,coleman@gmail.com
5223,Samuel,Thompson,29513,004-945-0297,thompson.s@live.com
7905,Isaiah,Hill,58862,084-545-7635,hill@outlook.com
8356,Griffith,Michael,61025,056-191-5682,michael@outlook.com
1259,Kevyn,Tran,55705,052-616-4442,tran@hotmail.com
9310,Ayanna,Ortega,27248,014-938-5513,ortega@gmail.com
3580,Yen,Bentley,78740,069-758-7673,bentleyyen@gmail.com
8228,Branden,Fuller,42583,001-513-0667,fuller@live.com
7355,Sean,Daniels,12620,080-875-2614,daniels@yahoo.com
8178,Derek,Fitzgerald,51664,019-835-2371,firtzgerald@gmail.com
4867,Logan,Baxter,82676,035-880-0853,baxter@yahoo.com
4785,Callie,Contreras,29848,097-930-0960,contreras@gmail.com
4645,Basil,Shaw,11795,096-648-3001,shaw.b@yahoo.com
7660,Tanisha,Kemp,48129,090-646-9375,kemp.t@outlook.com
2418,Rafael,Montoya,23732,031-779-0245,montoya.r@live.com
4671,Todd,Carr,27563,020-897-8276,carrtodd@gmail.com
3422,Ocean,Vega,15236,092-534-4607,vegaocean@yahoo.com
5034,Aspen,Campos,92358,021-520-3186,camposaspen@outlook.com
8480,Rashad,Simpson,88953,010-898-5036,simpson@gmail.com
8829,Jerome,Rocha,53416,018-193-6367,rocha@gmail.com
8839,Cody,Chan,38361,095-138-7501,chan@hotmail.com
5329,Ivana,Leblanc,18238,065-981-4309,leblanc@hotmail.com
8589,Cailin,Prince,64046,007-428-9246,prince@live.com
2329,Felicia,Jarvis,18974,072-354-3151,jarvis@gmail.com
